policy,seed,batch_label,driver_id,route_idx,successful_riders,attempted_riders,realized_revenue,actual_profit,selected_score,mean_wait_min,mean_walk_min,mean_observability,open_requests_before,attempted_rider_ids,successful_rider_ids,domain,scenario_name,time_slice,area_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min,run_id
corridor_only,42,2015-04-01T00:19:00,7,0,1,3,9.5,4.502830974188176,4.0,3.2,4.53602113070466,0.23064791440156526,28,151876;275421;58155,151876,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,42,2015-04-01T00:33:00,245,0,0,2,0.0,-7.360158201498752,3.0,0.0,5.917303303929583,0.27625065618983546,31,170028;133407,,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,42,2015-04-01T07:27:00,167,0,1,3,3.0,-2.352664446294755,7.0,5.0,5.356162935387954,0.25983780454858824,41,151657;92207;191637,191637,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,42,2015-04-01T08:38:00,40,0,0,0,0.0,-11.69412989175687,0.0,0.0,0.0,0.0,46,,,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,42,2015-04-01T20:25:00,129,0,1,3,9.0,1.9788093255620307,8.0,1.7166666666666666,5.442623120733054,0.24472752678112739,55,140209;91827;158503,140209,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,42,2015-04-01T21:32:00,244,0,2,3,13.75,5.496502914238134,9.0,2.9749999999999996,4.324093404970209,0.4463911560702045,48,223705;154910;136490,223705;136490,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,42,2015-04-02T05:09:00,12,0,0,0,0.0,-8.22323064113239,0.0,0.0,0.0,0.0,3,,,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,42,2015-04-02T14:13:00,65,0,2,3,30.0,24.576477935054122,10.0,3.533333333333333,3.400036998508743,0.4671803054516784,42,257226;106985;106800,257226;106985,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,42,2015-04-02T17:37:00,61,0,0,3,0.0,-12.98751040799334,9.0,0.0,6.0,0.0,38,75333;139876;187972,,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,42,2015-04-02T19:57:00,127,0,0,0,0.0,-8.366278101582015,0.0,0.0,0.0,0.0,53,,,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,42,2015-04-02T21:11:00,39,0,2,3,9.5,-1.0320149875104097,3.0,1.3333333333333335,4.237196548018281,0.22132927513857611,46,110840;57709;261465,110840;261465,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,42,2015-04-02T22:48:00,33,0,0,1,0.0,-9.628642797668611,1.0,0.0,6.0,0.0,45,253940,,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,42,2015-04-02T23:38:00,68,1,2,3,14.0,4.628476269775186,5.0,2.5,3.606075186484485,0.3690326530772195,40,45952;186014;1239,45952;1239,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,42,2015-04-02T23:39:00,22,0,0,3,0.0,-9.075395503746877,8.0,0.0,4.772951891438077,0.234502568687897,36,69735;102695;227383,,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,42,2015-04-03T00:03:00,36,0,1,3,7.25,1.5136552872606153,5.0,2.5833333333333335,5.790724769059476,0.1730745165452421,42,122956;161423;141825,141825,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,42,2015-04-03T05:45:00,95,0,0,1,0.0,-11.048084929225647,1.0,0.0,2.6275614878718745,0.551386752697066,7,230436,,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,42,2015-04-03T05:55:00,4,1,0,1,0.0,-13.739342214820985,1.0,0.0,6.0,0.0,5,119051,,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,42,2015-04-03T06:14:00,238,0,0,0,0.0,-8.11923397169026,0.0,0.0,0.0,0.0,11,,,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,42,2015-04-03T06:36:00,9,1,0,1,0.0,-5.5421315570358045,1.0,0.0,6.0,0.0,22,140373,,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,42,2015-04-03T07:56:00,16,0,1,1,13.75,6.97527060782681,1.0,3.7333333333333334,1.8479684093690234,0.4840399412178989,22,205488,205488,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
corridor_only,42,2015-04-03T12:31:00,18,1,0,3,0.0,-11.760699417152374,22.0,0.0,6.0,0.0,48,158009;131250;263316,,yellow,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-d10-canonical-20260410T053245Z-d0750981
