policy,seed,requested_drivers,launched_drivers,drivers_skipped_no_route,route_coverage_rate,eligible_riders,served_riders,total_profit,profit_per_driver,service_rate,mean_wait_min,mean_walk_min,mean_observability,domain,scenario_name,time_slice,area_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min,run_id
corridor_only,42,250,120,130,0.48,36868,50,-735.012739383847,-6.125106161532059,0.0013561896495605946,2.4386666666666663,5.201409095911857,0.1817061187043017,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
corridor_only,43,250,120,130,0.48,36868,53,-729.012739383847,-6.075106161532059,0.0014375610285342303,2.6138364779874212,5.201409095911857,0.1817061187043017,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
corridor_only,44,250,120,130,0.48,36868,48,-752.262739383847,-6.268856161532058,0.0013019420635781707,2.4927083333333337,5.201409095911857,0.1817061187043017,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
time_only_baseline,42,250,120,130,0.48,36868,66,-611.7099916736055,-5.097583263946713,0.0017901703374199847,2.689141414141414,4.140920845310686,0.601345993406827,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
time_only_baseline,43,250,120,130,0.48,36868,65,-630.2099916736057,-5.251749930613381,0.001763046544428773,2.3915384615384614,4.140920845310686,0.601345993406827,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
time_only_baseline,44,250,120,130,0.48,36868,59,-691.7099916736059,-5.764249930613383,0.0016003037864815016,2.7104519774011298,4.140920845310686,0.601345993406827,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
feasible_count_baseline,42,250,120,130,0.48,36868,66,-666.7688592839304,-5.55640716069942,0.0017901703374199847,2.653787878787878,4.179385482262696,0.5949490708980943,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
feasible_count_baseline,43,250,120,130,0.48,36868,65,-684.0188592839304,-5.70015716069942,0.001763046544428773,2.554358974358974,4.179385482262696,0.5949490708980943,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
feasible_count_baseline,44,250,120,130,0.48,36868,66,-666.7688592839304,-5.55640716069942,0.0017901703374199847,2.6131313131313125,4.179385482262696,0.5949490708980943,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
walk_aware_rendezvous,42,250,120,130,0.48,36868,68,-629.6133222314742,-5.246777685262285,0.0018444179234024087,2.616911764705882,3.300427047416208,0.5859524870269058,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
walk_aware_rendezvous,43,250,120,130,0.48,36868,69,-608.6133222314742,-5.071777685262285,0.0018715417163936204,2.4434782608695644,3.300427047416208,0.5859524870269058,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
walk_aware_rendezvous,44,250,120,130,0.48,36868,66,-652.8633222314742,-5.440527685262285,0.0017901703374199847,2.6282828282828277,3.300427047416208,0.5859524870269058,yellow,sparse_high_occlusion,morning_peak,all,7,10,10,0.4,1,calibrated,full,True,0.5,dispatch-yellow-sparse-high-occlusion-sparse-high-occlusion-dispatch-morning-peak-d10-canonical-20260410T053243Z-38c42ec7
