policy,seed,batch_label,driver_id,route_idx,successful_riders,attempted_riders,realized_revenue,actual_profit,selected_score,mean_wait_min,mean_walk_min,mean_observability,open_requests_before,attempted_rider_ids,successful_rider_ids,domain,scenario_name,time_slice,area_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min
corridor_only,42,2015-04-01T09:13:00,187,0,0,0,0.0,-7.826686094920901,0.0,0.0,0.0,0.0,6,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-01T11:33:00,223,0,0,0,0.0,-7.72202331390508,0.0,0.0,0.0,0.0,1,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-01T22:10:00,4,0,0,0,0.0,-4.68601165695254,0.0,0.0,0.0,0.0,8,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-02T07:55:00,21,0,0,0,0.0,-6.718359700249793,0.0,0.0,0.0,0.0,4,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-02T09:40:00,138,0,0,1,0.0,-7.323646960865946,2.0,0.0,6.0,0.0,8,15680,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-02T10:13:00,25,1,0,0,0.0,-7.163738551207328,1.0,0.0,0.0,0.0,4,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-02T13:14:00,65,0,0,1,0.0,-12.221606994171525,1.0,0.0,6.0,0.0,4,34330,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-02T18:52:00,247,0,0,0,0.0,-7.540757701915072,0.0,0.0,0.0,0.0,6,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-02T20:24:00,118,0,0,1,0.0,-10.449708576186513,1.0,0.0,6.0,0.0,9,12192,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-03T01:54:00,199,0,0,0,0.0,-7.685803497085762,0.0,0.0,0.0,0.0,1,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-03T02:14:00,82,0,0,0,0.0,-5.296544546211491,0.0,0.0,0.0,0.0,1,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-03T04:18:00,152,0,0,0,0.0,-7.052581182348043,0.0,0.0,0.0,0.0,4,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-03T05:09:00,47,0,0,0,0.0,-9.946627810158203,0.0,0.0,0.0,0.0,0,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-03T08:41:00,197,0,0,1,0.0,-7.767027477102416,1.0,0.0,6.0,0.0,2,26028,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-03T13:41:00,10,0,0,0,0.0,-8.188759367194006,0.0,0.0,0.0,0.0,4,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-03T14:02:00,162,0,0,1,0.0,-8.099708576186512,1.0,0.0,6.0,0.0,1,34824,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-03T18:42:00,218,0,0,1,0.0,-12.030183180682764,1.0,0.0,2.836765212363988,0.6526256061381732,8,33885,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-03T18:55:00,119,0,0,0,0.0,-7.089134054954205,0.0,0.0,0.0,0.0,10,,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
corridor_only,42,2015-04-03T19:30:00,232,1,0,1,0.0,-9.122481265611992,1.0,0.0,3.434803898714731,0.5923936438658499,10,33339,,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
