policy,seed,requested_drivers,launched_drivers,drivers_skipped_no_route,route_coverage_rate,eligible_riders,served_riders,total_profit,profit_per_driver,service_rate,mean_wait_min,mean_walk_min,mean_observability,domain,scenario_name,time_slice,area_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min
corridor_only,42,250,250,0,1.0,35417,26,-1798.4274771024154,-7.193709908409661,0.0007341107377812915,2.271794871794872,5.185083385885094,0.18466033014914823,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
corridor_only,43,250,250,0,1.0,35417,25,-1812.9274771024154,-7.251709908409662,0.000705875709405088,2.4386666666666668,5.185083385885094,0.18466033014914823,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
corridor_only,44,250,250,0,1.0,35417,30,-1771.1774771024154,-7.084709908409661,0.0008470508512861055,2.164444444444444,5.185083385885094,0.18466033014914823,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
time_only_baseline,42,250,250,0,1.0,35417,18,-1807.2351790174873,-7.22894071606995,0.0005082305107716633,2.3824074074074075,4.216422889454442,0.5649306330115615,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
time_only_baseline,43,250,250,0,1.0,35417,14,-1827.9851790174873,-7.311940716069949,0.00039529039726684926,2.411904761904762,4.216422889454442,0.5649306330115615,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
time_only_baseline,44,250,250,0,1.0,35417,21,-1782.9851790174873,-7.131940716069949,0.0005929355959002738,2.3539682539682545,4.216422889454442,0.5649306330115615,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
feasible_count_baseline,42,250,250,0,1.0,35417,32,-1741.9317651956712,-6.967727060782685,0.0009035209080385125,2.1401041666666667,4.333964290742356,0.5759793722414713,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
feasible_count_baseline,43,250,250,0,1.0,35417,33,-1755.9317651956712,-7.023727060782685,0.0009317559364147161,2.388888888888889,4.333964290742356,0.5759793722414713,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
feasible_count_baseline,44,250,250,0,1.0,35417,29,-1767.9317651956712,-7.071727060782685,0.000818815822909902,2.1988505747126434,4.333964290742356,0.5759793722414713,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,42,250,250,0,1.0,35417,31,-1715.648293089094,-6.862593172356377,0.0008752858796623091,2.1865591397849458,3.3891363700686576,0.562003121981924,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,250,250,0,1.0,35417,25,-1769.148293089094,-7.076593172356376,0.000705875709405088,2.414,3.3891363700686576,0.562003121981924,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,250,250,0,1.0,35417,30,-1718.148293089094,-6.8725931723563765,0.0008470508512861055,2.328333333333333,3.3891363700686576,0.562003121981924,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
rendezvous_only,42,250,250,0,1.0,35417,31,-1711.3982930890936,-6.8455931723563745,0.0008752858796623091,2.2639784946236556,4.3515518602423935,0.5804532102617614,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
rendezvous_only,43,250,250,0,1.0,35417,35,-1692.648293089094,-6.770593172356376,0.000988225993167123,2.3528571428571428,4.3515518602423935,0.5804532102617614,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
rendezvous_only,44,250,250,0,1.0,35417,31,-1710.648293089094,-6.842593172356376,0.0008752858796623091,2.240322580645161,4.3515518602423935,0.5804532102617614,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
rendezvous_observable,42,250,250,0,1.0,35417,34,-1693.6482930890936,-6.774593172356375,0.0009599909647909197,2.156862745098039,4.3277193232214355,0.5996450033113031,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
rendezvous_observable,43,250,250,0,1.0,35417,28,-1730.898293089094,-6.923593172356377,0.0007905807945336985,2.127380952380952,4.3277193232214355,0.5996450033113031,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
rendezvous_observable,44,250,250,0,1.0,35417,31,-1719.3982930890936,-6.877593172356375,0.0008752858796623091,2.246774193548387,4.3277193232214355,0.5996450033113031,green,sparse_high_occlusion,all_day,all,,,10,0.4,1,calibrated,full,True,0.5
