policy,seed,batch_label,driver_id,route_idx,successful_riders,attempted_riders,realized_revenue,actual_profit,selected_score,mean_wait_min,mean_walk_min,mean_observability,open_requests_before,attempted_rider_ids,successful_rider_ids,domain,scenario_name,time_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min
corridor_only,42,2015-04-01T00:19:00,7,1,3,3,41.5,36.02352206494588,50.0,3.216666666666667,2.922739071694759,0.6455529135406596,259,2163853;1997412;1122191,2163853;1997412;1122191,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
corridor_only,42,2015-04-01T00:33:00,245,0,1,3,13.5,6.139841798501248,24.0,3.966666666666667,3.6925830962584834,0.4197670929693072,225,2186096;409296;1069808,409296,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
corridor_only,42,2015-04-01T07:27:00,167,1,1,3,11.25,5.365736885928393,61.0,3.816666666666667,5.635501388504561,0.204514044635174,412,702689;932756;2339269,2339269,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
corridor_only,42,2015-04-01T08:38:00,40,0,1,3,3.75,-7.9441298917568695,3.0,2.8,4.731505300467483,0.47747550452574256,471,306182;2013289;931346,2013289,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
corridor_only,42,2015-04-01T13:40:00,339,0,1,3,17.75,12.457618651124063,49.0,4.483333333333333,3.8729271873351205,0.4748527761035983,379,2232592;1326456;1369594,2232592,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
corridor_only,42,2015-04-01T13:40:00,446,1,0,3,0.0,-11.90308076602831,134.0,0.0,6.0,0.0,366,2403124;571448;1699906,,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
corridor_only,42,2015-04-01T14:02:00,380,0,2,3,24.5,13.325936719400497,89.0,3.2583333333333333,3.79952085777472,0.21581495947491358,370,993132;1809833;456627,993132;456627,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
corridor_only,42,2015-04-01T15:19:00,314,0,1,3,16.0,5.044629475437134,43.0,0.5333333333333333,5.835049729489644,0.19569689103287094,365,1583149;1287447;376942,1583149,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
corridor_only,42,2015-04-01T17:16:00,404,0,3,3,62.75,55.10220649458785,37.0,2.4222222222222225,1.1352825424723967,0.6454158789701762,338,1090761;2182858;1371211,1090761;2182858;1371211,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
corridor_only,42,2015-04-01T20:25:00,129,0,1,3,14.75,7.728809325562031,47.0,2.65,4.687440368923753,0.23012524932247092,528,2473232;1260444;1254885,2473232,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
