policy,seed,requested_drivers,launched_drivers,drivers_skipped_no_route,route_coverage_rate,eligible_riders,served_riders,total_profit,profit_per_driver,service_rate,mean_wait_min,mean_walk_min,mean_observability,domain,scenario_name,time_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min
corridor_only,42,500,500,0,1.0,2756427,475,2037.0276019983332,4.074055203996666,0.00017232453462398968,2.4845263157894744,4.792563170706248,0.25861542148673194,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
corridor_only,43,500,500,0,1.0,2756427,468,1893.1776019983333,3.7863552039966666,0.000169785015166373,2.572613960113959,4.792563170706248,0.25861542148673194,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
corridor_only,44,500,500,0,1.0,2756427,469,1893.7776019983332,3.7875552039966665,0.00017014780366031822,2.500923951670221,4.792563170706248,0.25861542148673194,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
corridor_only,45,500,500,0,1.0,2756427,462,1839.5276019983337,3.6790552039966675,0.00016760828420270155,2.522366522366523,4.792563170706248,0.25861542148673194,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
corridor_only,46,500,500,0,1.0,2756427,473,2003.6776019983333,4.007355203996666,0.0001715989576360992,2.5385835095137423,4.792563170706248,0.25861542148673194,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
time_only_baseline,42,500,500,0,1.0,2756427,902,5291.505328892594,10.583010657785188,0.00032723522153860776,2.608776792313377,3.9166033936282423,0.6109923770230318,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
time_only_baseline,43,500,500,0,1.0,2756427,908,5242.255328892594,10.484510657785188,0.0003294119525022792,2.6281204111600593,3.9166033936282423,0.6109923770230318,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
time_only_baseline,44,500,500,0,1.0,2756427,912,5306.005328892595,10.61201065778519,0.0003308631064780602,2.6232273391812857,3.9166033936282423,0.6109923770230318,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
time_only_baseline,45,500,500,0,1.0,2756427,909,5276.755328892594,10.553510657785187,0.00032977474099622447,2.6244407774110754,3.9166033936282423,0.6109923770230318,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
time_only_baseline,46,500,500,0,1.0,2756427,898,5148.755328892594,10.297510657785187,0.00032578406756282683,2.6076095025983657,3.9166033936282423,0.6109923770230318,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
feasible_count_baseline,42,500,500,0,1.0,2756427,937,5743.167402164862,11.486334804329724,0.0003399328188266912,2.542636072572037,3.966113312731146,0.6152124922029457,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
feasible_count_baseline,43,500,500,0,1.0,2756427,935,5644.417402164863,11.288834804329726,0.00033920724183880073,2.5909447415329763,3.966113312731146,0.6152124922029457,yellow,primary,all_day,,,100,0.25,1,calibrated,full,True,0.5
