policy,seed,requested_drivers,launched_drivers,drivers_skipped_no_route,route_coverage_rate,eligible_riders,served_riders,total_profit,profit_per_driver,service_rate,mean_wait_min,mean_walk_min,mean_observability,domain,scenario_name,time_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min
corridor_only,42,60,60,0,1.0,91234,33,-265.6465861781851,-4.427443102969751,0.0003617072582589824,2.161111111111111,5.138533400283282,0.1777778103347202,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
corridor_only,43,60,60,0,1.0,91234,28,-316.896586178185,-5.281609769636416,0.00030690312821974263,2.745238095238096,5.138533400283282,0.1777778103347202,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
time_only_baseline,42,60,60,0,1.0,91234,48,-219.79125728559544,-3.6631876214265904,0.0005261196483767016,2.1805555555555554,3.921396558422344,0.5883912102709979,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
time_only_baseline,43,60,60,0,1.0,91234,53,-175.04125728559544,-2.9173542880932573,0.0005809237784159414,2.205660377358491,3.921396558422344,0.5883912102709979,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
feasible_count_baseline,42,60,60,0,1.0,91234,58,-183.1003746877603,-3.051672911462672,0.0006357279084551812,2.352298850574712,4.101879860442755,0.5625042853511552,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
feasible_count_baseline,43,60,60,0,1.0,91234,58,-157.6003746877603,-2.6266729114626717,0.0006357279084551812,2.034770114942529,4.101879860442755,0.5625042853511552,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,42,60,60,0,1.0,91234,57,-132.73713572023328,-2.2122855953372214,0.0006247670824473333,2.2529239766081868,2.9666878489846185,0.5422935527396928,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,60,60,0,1.0,91234,57,-148.73713572023328,-2.478952262003888,0.0006247670824473333,1.965497076023392,2.9666878489846185,0.5422935527396928,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
rendezvous_only,42,60,60,0,1.0,91234,60,-120.23713572023328,-2.003952262003888,0.0006576495604708771,2.1669444444444443,4.112968938122219,0.5602139015159853,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
rendezvous_only,43,60,60,0,1.0,91234,56,-183.48713572023328,-3.0581189286705546,0.0006138062564394853,2.219047619047619,4.112968938122219,0.5602139015159853,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
rendezvous_observable,42,60,60,0,1.0,91234,68,-83.48713572023323,-1.3914522620038872,0.0007453361685336607,2.12671568627451,3.903164941116843,0.5917313998344716,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
rendezvous_observable,43,60,60,0,1.0,91234,57,-166.23713572023328,-2.770618928670555,0.0006247670824473333,2.2236842105263164,3.903164941116843,0.5917313998344716,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
ml_meeting_point_comparator,42,60,60,0,1.0,91234,54,-156.73713572023328,-2.6122855953372213,0.0005918846044237893,1.841049382716049,3.848010819640968,0.5845703161694937,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
ml_meeting_point_comparator,43,60,60,0,1.0,91234,57,-177.48713572023328,-2.958118928670555,0.0006247670824473333,2.2333333333333334,3.848010819640968,0.5845703161694937,yellow,sparse_high_occlusion,morning_peak,7,10,25,0.4,1,calibrated,full,True,0.5
