policy,seed,requested_drivers,launched_drivers,drivers_skipped_no_route,route_coverage_rate,eligible_riders,served_riders,total_profit,profit_per_driver,service_rate,mean_wait_min,mean_walk_min,mean_observability,domain,scenario_name,time_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min
corridor_only,42,250,250,0,1.0,273270,87,-1532.869275603665,-6.13147710241466,0.0003183664507629817,2.451724137931034,5.187746784719428,0.18159459645063009,yellow,very_sparse_extreme_occlusion,all_day,,,10,0.55,1,calibrated,full,True,0.5
corridor_only,43,250,250,0,1.0,273270,94,-1498.619275603665,-5.994477102414661,0.00034398214220368134,2.429078014184397,5.187746784719428,0.18159459645063009,yellow,very_sparse_extreme_occlusion,all_day,,,10,0.55,1,calibrated,full,True,0.5
corridor_only,44,250,250,0,1.0,273270,95,-1423.369275603665,-5.69347710241466,0.00034764152669520984,2.5170175438596485,5.187746784719428,0.18159459645063009,yellow,very_sparse_extreme_occlusion,all_day,,,10,0.55,1,calibrated,full,True,0.5
time_only_baseline,42,250,250,0,1.0,273270,113,-1430.3013322231493,-5.721205328892597,0.00041351044754272333,2.4828908554572275,4.114134225190222,0.5837322922974635,yellow,very_sparse_extreme_occlusion,all_day,,,10,0.55,1,calibrated,full,True,0.5
time_only_baseline,43,250,250,0,1.0,273270,112,-1393.0513322231493,-5.572205328892597,0.0004098510630511948,2.5666666666666673,4.114134225190222,0.5837322922974635,yellow,very_sparse_extreme_occlusion,all_day,,,10,0.55,1,calibrated,full,True,0.5
time_only_baseline,44,250,250,0,1.0,273270,113,-1421.0513322231493,-5.684205328892597,0.00041351044754272333,2.3721238938053104,4.114134225190222,0.5837322922974635,yellow,very_sparse_extreme_occlusion,all_day,,,10,0.55,1,calibrated,full,True,0.5
feasible_count_baseline,42,250,250,0,1.0,273270,133,-1272.100582847628,-5.088402331390512,0.0004866981373732938,2.2708020050125315,4.14070254516346,0.5844498571934714,yellow,very_sparse_extreme_occlusion,all_day,,,10,0.55,1,calibrated,full,True,0.5
feasible_count_baseline,43,250,250,0,1.0,273270,126,-1356.850582847628,-5.427402331390512,0.00046108244593259416,2.5777777777777775,4.14070254516346,0.5844498571934714,yellow,very_sparse_extreme_occlusion,all_day,,,10,0.55,1,calibrated,full,True,0.5
feasible_count_baseline,44,250,250,0,1.0,273270,143,-1175.6005828476277,-4.702402331390511,0.0005232919822885791,2.3782051282051286,4.14070254516346,0.5844498571934714,yellow,very_sparse_extreme_occlusion,all_day,,,10,0.55,1,calibrated,full,True,0.5
walk_aware_rendezvous,42,250,250,0,1.0,273270,137,-1158.124521232307,-4.632498084929228,0.0005013356753394079,2.308515815085159,3.145644726581836,0.5708676808231523,yellow,very_sparse_extreme_occlusion,all_day,,,10,0.55,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,250,250,0,1.0,273270,130,-1285.8745212323076,-5.143498084929231,0.0004757199838987082,2.3920512820512823,3.145644726581836,0.5708676808231523,yellow,very_sparse_extreme_occlusion,all_day,,,10,0.55,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,250,250,0,1.0,273270,131,-1227.374521232307,-4.909498084929228,0.00047937936839023676,2.4094147582697207,3.145644726581836,0.5708676808231523,yellow,very_sparse_extreme_occlusion,all_day,,,10,0.55,1,calibrated,full,True,0.5
rendezvous_only,42,250,250,0,1.0,273270,133,-1211.1141965029153,-4.844456786011661,0.0004866981373732938,2.483834586466165,4.149608434927324,0.5826982102190368,yellow,very_sparse_extreme_occlusion,all_day,,,10,0.55,1,calibrated,full,True,0.5
rendezvous_only,43,250,250,0,1.0,273270,134,-1254.3641965029153,-5.017456786011661,0.0004903575218648224,2.3723880597014926,4.149608434927324,0.5826982102190368,yellow,very_sparse_extreme_occlusion,all_day,,,10,0.55,1,calibrated,full,True,0.5
rendezvous_only,44,250,250,0,1.0,273270,141,-1222.3641965029153,-4.889456786011661,0.000515973213305522,2.452718676122932,4.149608434927324,0.5826982102190368,yellow,very_sparse_extreme_occlusion,all_day,,,10,0.55,1,calibrated,full,True,0.5
rendezvous_observable,42,250,250,0,1.0,273270,135,-1267.4594088259794,-5.069837635303918,0.0004940169063563509,2.322962962962963,3.9035319038906993,0.6039251197267249,yellow,very_sparse_extreme_occlusion,all_day,,,10,0.55,1,calibrated,full,True,0.5
rendezvous_observable,43,250,250,0,1.0,273270,124,-1257.9594088259794,-5.031837635303917,0.0004537636769495371,2.418682795698925,3.9035319038906993,0.6039251197267249,yellow,very_sparse_extreme_occlusion,all_day,,,10,0.55,1,calibrated,full,True,0.5
rendezvous_observable,44,250,250,0,1.0,273270,139,-1208.9594088259792,-4.835837635303917,0.000508654444322465,2.3979616306954434,3.9035319038906993,0.6039251197267249,yellow,very_sparse_extreme_occlusion,all_day,,,10,0.55,1,calibrated,full,True,0.5
ml_meeting_point_comparator,42,250,250,0,1.0,273270,134,-1212.1141965029153,-4.848456786011662,0.0004903575218648224,2.464925373134328,3.920861793087385,0.6022542538627988,yellow,very_sparse_extreme_occlusion,all_day,,,10,0.55,1,calibrated,full,True,0.5
ml_meeting_point_comparator,43,250,250,0,1.0,273270,138,-1214.3641965029153,-4.857456786011661,0.0005049950598309365,2.4560386473429956,3.920861793087385,0.6022542538627988,yellow,very_sparse_extreme_occlusion,all_day,,,10,0.55,1,calibrated,full,True,0.5
ml_meeting_point_comparator,44,250,250,0,1.0,273270,133,-1219.114196502915,-4.87645678601166,0.0004866981373732938,2.50889724310777,3.920861793087385,0.6022542538627988,yellow,very_sparse_extreme_occlusion,all_day,,,10,0.55,1,calibrated,full,True,0.5
