policy,seed,requested_drivers,launched_drivers,drivers_skipped_no_route,route_coverage_rate,eligible_riders,served_riders,total_profit,profit_per_driver,service_rate,mean_wait_min,mean_walk_min,mean_observability,domain,scenario_name,time_slice,hour_start,hour_end,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min
corridor_only,42,250,250,0,1.0,273270,119,-1282.3692756036646,-5.129477102414659,0.00043546675449189444,2.4196078431372547,5.187746784719428,0.18159459645063009,yellow,very_sparse_low_occlusion,all_day,,,10,0.1,1,calibrated,full,True,0.5
corridor_only,43,250,250,0,1.0,273270,118,-1291.8692756036646,-5.167477102414659,0.00043180737000036594,2.443361581920904,5.187746784719428,0.18159459645063009,yellow,very_sparse_low_occlusion,all_day,,,10,0.1,1,calibrated,full,True,0.5
corridor_only,44,250,250,0,1.0,273270,120,-1252.8692756036646,-5.011477102414658,0.000439126138983423,2.4866666666666664,5.187746784719428,0.18159459645063009,yellow,very_sparse_low_occlusion,all_day,,,10,0.1,1,calibrated,full,True,0.5
time_only_baseline,42,250,250,0,1.0,273270,153,-1120.8013322231486,-4.483205328892595,0.0005598858272038643,2.4764705882352946,4.114134225190222,0.5837322922974635,yellow,very_sparse_low_occlusion,all_day,,,10,0.1,1,calibrated,full,True,0.5
time_only_baseline,43,250,250,0,1.0,273270,144,-1166.8013322231488,-4.667205328892595,0.0005269513667801076,2.526851851851852,4.114134225190222,0.5837322922974635,yellow,very_sparse_low_occlusion,all_day,,,10,0.1,1,calibrated,full,True,0.5
time_only_baseline,44,250,250,0,1.0,273270,145,-1192.3013322231484,-4.7692053288925935,0.0005306107512716361,2.437586206896552,4.114134225190222,0.5837322922974635,yellow,very_sparse_low_occlusion,all_day,,,10,0.1,1,calibrated,full,True,0.5
feasible_count_baseline,42,250,250,0,1.0,273270,179,-948.8505828476268,-3.795402331390507,0.000655029823983606,2.406517690875232,4.14070254516346,0.5844498571934714,yellow,very_sparse_low_occlusion,all_day,,,10,0.1,1,calibrated,full,True,0.5
feasible_count_baseline,43,250,250,0,1.0,273270,163,-1096.1005828476268,-4.384402331390508,0.0005964796721191495,2.53916155419223,4.14070254516346,0.5844498571934714,yellow,very_sparse_low_occlusion,all_day,,,10,0.1,1,calibrated,full,True,0.5
feasible_count_baseline,44,250,250,0,1.0,273270,180,-920.3505828476268,-3.6814023313905073,0.0006586892084751345,2.385370370370371,4.14070254516346,0.5844498571934714,yellow,very_sparse_low_occlusion,all_day,,,10,0.1,1,calibrated,full,True,0.5
walk_aware_rendezvous,42,250,250,0,1.0,273270,177,-889.3745212323062,-3.557498084929225,0.000647711055000549,2.32768361581921,3.145644726581836,0.5708676808231523,yellow,very_sparse_low_occlusion,all_day,,,10,0.1,1,calibrated,full,True,0.5
walk_aware_rendezvous,43,250,250,0,1.0,273270,171,-967.6245212323063,-3.870498084929225,0.0006257547480513777,2.357894736842106,3.145644726581836,0.5708676808231523,yellow,very_sparse_low_occlusion,all_day,,,10,0.1,1,calibrated,full,True,0.5
walk_aware_rendezvous,44,250,250,0,1.0,273270,176,-903.8745212323062,-3.6154980849292246,0.0006440516705090204,2.3781250000000007,3.145644726581836,0.5708676808231523,yellow,very_sparse_low_occlusion,all_day,,,10,0.1,1,calibrated,full,True,0.5
rendezvous_only,42,250,250,0,1.0,273270,173,-942.6141965029141,-3.7704567860116565,0.0006330735170344349,2.5042389210019267,4.149608434927324,0.5826982102190368,yellow,very_sparse_low_occlusion,all_day,,,10,0.1,1,calibrated,full,True,0.5
rendezvous_only,43,250,250,0,1.0,273270,177,-920.8641965029141,-3.6834567860116563,0.000647711055000549,2.4298493408662907,4.149608434927324,0.5826982102190368,yellow,very_sparse_low_occlusion,all_day,,,10,0.1,1,calibrated,full,True,0.5
rendezvous_only,44,250,250,0,1.0,273270,184,-895.8641965029143,-3.583456786011657,0.0006733267464412486,2.44429347826087,4.149608434927324,0.5826982102190368,yellow,very_sparse_low_occlusion,all_day,,,10,0.1,1,calibrated,full,True,0.5
rendezvous_observable,42,250,250,0,1.0,273270,175,-967.8641965029141,-3.8714567860116564,0.0006403922860174919,2.3961904761904758,3.910330577192936,0.6032532684675969,yellow,very_sparse_low_occlusion,all_day,,,10,0.1,1,calibrated,full,True,0.5
rendezvous_observable,43,250,250,0,1.0,273270,168,-988.3641965029142,-3.9534567860116567,0.0006147765945767921,2.42609126984127,3.910330577192936,0.6032532684675969,yellow,very_sparse_low_occlusion,all_day,,,10,0.1,1,calibrated,full,True,0.5
rendezvous_observable,44,250,250,0,1.0,273270,183,-884.1141965029141,-3.5364567860116565,0.0006696673619497201,2.415027322404372,3.910330577192936,0.6032532684675969,yellow,very_sparse_low_occlusion,all_day,,,10,0.1,1,calibrated,full,True,0.5
ml_meeting_point_comparator,42,250,250,0,1.0,273270,177,-912.3641965029141,-3.6494567860116565,0.000647711055000549,2.392749529190207,3.920861793087385,0.6022542538627988,yellow,very_sparse_low_occlusion,all_day,,,10,0.1,1,calibrated,full,True,0.5
ml_meeting_point_comparator,43,250,250,0,1.0,273270,176,-924.8641965029141,-3.6994567860116563,0.0006440516705090204,2.4365530303030307,3.920861793087385,0.6022542538627988,yellow,very_sparse_low_occlusion,all_day,,,10,0.1,1,calibrated,full,True,0.5
ml_meeting_point_comparator,44,250,250,0,1.0,273270,175,-947.3641965029141,-3.789456786011656,0.0006403922860174919,2.3995238095238105,3.920861793087385,0.6022542538627988,yellow,very_sparse_low_occlusion,all_day,,,10,0.1,1,calibrated,full,True,0.5
