driver_id,domain,scenario_name,time_slice,area_slice,rider_density_pct,occlusion_lambda,meeting_k_ring,observability_profile,observability_ablation,use_urban_context,walk_penalty_per_min,route_idx,route_cost,route_distance_miles,route_duration_min,rider_id,anchor_cell,anchor_idx,pickup_h3,dropoff_h3,fare_share,passenger_count,walk_m,walk_min,anchor_progress,travel_fraction,ambiguity_count,local_straightness,turn_severity,anchor_clutter,urban_clutter_index,sidewalk_access_score,building_height_proxy,context_is_imputed,observability_score,success_probability
0,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,0,8.706786011656954,12.995203002473065,22.166666666666668,32120,892a100c097ffff,20,892a100c42fffff,892a100f1a7ffff,7.5,1,287.8585700191967,3.8381142669226227,0.2702702702702703,0.05525032317753076,4,0.680514752444723,0.32332420914988863,1.6486135773304893,0.7160340416086908,0.9831833808620456,0.18866869031054534,False,0.4896168916854673,0.8224042229213668
0,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,0,8.706786011656954,12.995203002473065,22.166666666666668,32525,892a100c083ffff,19,892a100c093ffff,892a100c497ffff,6.5,1,344.04576868300364,4.587276915773383,0.25675675675675674,0.11114343332278831,3,0.873825022402253,0.3233516296243124,1.4328080589817938,0.6926902974320379,0.9994398062102983,0.12197227837725122,False,0.5599690426709758,0.8399922606677439
0,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,0,8.706786011656954,12.995203002473065,22.166666666666668,32525,892a100c097ffff,20,892a100c093ffff,892a100c497ffff,6.5,1,279.6926750058266,3.729235666744354,0.2702702702702703,0.09495613601915659,3,0.680514752444723,0.32332420914988863,1.6486135773304893,0.7160340416086908,0.9831833808620456,0.18866869031054534,False,0.5146168916854673,0.8286542229213668
0,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,0,8.706786011656954,12.995203002473065,22.166666666666668,32525,892a100c42fffff,21,892a100c093ffff,892a100c497ffff,6.5,1,309.62099198611213,4.128279893148162,0.28378378378378377,0.08164854749960249,3,0.6805202901686147,0.6497174647764307,1.6396501244804005,0.7192676169774324,0.9999998024647925,0.19790747707837839,False,0.4169564357350414,0.8042391089337603
0,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,0,8.706786011656954,12.995203002473065,22.166666666666668,195682,892a100d5bbffff,0,892a100d587ffff,892a1072ca7ffff,9.0,3,322.37350702268725,4.298313426969163,0.0,0.06359983929735084,1,0.8524117406617897,0.0,1.3437680853581164,0.7150808950573178,0.999999802638227,0.18594541444947926,False,0.8558150230029782,0.9139537557507444
0,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,1,9.03472106577852,13.484658307132118,23.13,151492,892a100c613ffff,9,892a100c68fffff,892a100c447ffff,2.5,2,446.6735189356561,5.955646919142081,0.1125,0.11062242039178279,1,0.743117504525916,0.6736352215788609,1.4534001462638477,0.7014000602262902,1.0,0.14685731493225798,False,0.6280524534975727,0.8570131133743931
0,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,1,9.03472106577852,13.484658307132118,23.13,311810,892a100c613ffff,9,892a100c68bffff,892a100f3b7ffff,3.0,1,310.5122946660939,4.140163928881252,0.1125,0.05024754404569305,3,0.743117504525916,0.6736352215788609,1.4534001462638477,0.7014000602262902,1.0,0.14685731493225798,False,0.4280524534975727,0.8070131133743932
1,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,1,13.240716069941715,19.762262790957784,32.126666666666665,274684,892a100c5dbffff,64,892a100c5d3ffff,892a1005277ffff,6.0,1,426.8767414229497,5.691689885639329,0.5714285714285714,0.1309350177098353,3,0.9090316236428265,0.3233385787971375,1.4584849608452373,0.7034938074068624,1.0,0.15283944973389263,False,0.5661556656507396,0.8415389164126849
1,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,1,13.240716069941715,19.762262790957784,32.126666666666665,274684,892a100c5d3ffff,65,892a100c5d3ffff,892a1005277ffff,6.0,1,92.04498578441525,1.2272664771255366,0.5803571428571429,0.12021857838445327,3,0.9090317274832422,1.549791207588037e-05,1.4919533249204884,0.7077255471447177,0.9768087181452547,0.16493013469919363,False,0.6620600211887174,0.8655150052971793
1,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,1,13.240716069941715,19.762262790957784,32.126666666666665,274684,892a100e36fffff,66,892a100c5d3ffff,892a1005277ffff,6.0,1,307.32004763812836,4.097600635175045,0.5892857142857143,0.10948149160293374,3,0.6628752684565137,1.5497967017886872e-05,1.6905492089827305,0.7317702230215044,0.97946418978378,0.2336292086328696,False,0.6069046700831706,0.8517261675207926
2,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,0,5.409034138218153,8.073185280922615,19.485,113791,892a100d557ffff,28,892a100d553ffff,892a100f223ffff,4.75,1,419.4123179328852,5.592164239105135,0.6086956521739131,0.0755873817584487,3,0.891287401476955,8.115950859632903e-06,1.3166990978631594,0.5745231579436538,1.0,0.12720902269615386,False,0.6645847722253864,0.8661461930563465
2,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,0,5.409034138218153,8.073185280922615,19.485,125625,892a100dc4bffff,6,892a100de97ffff,892a100dc17ffff,5.25,1,314.8833808476923,4.198445077969231,0.13043478260869565,0.07735022286390267,2,0.852363717909317,0.3503301042267029,1.5027473257452009,0.7217194870715533,1.0,0.2049128202044379,False,0.5952858943957771,0.8488214735989442
2,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,0,5.409034138218153,8.073185280922615,19.485,207887,892a100dc4fffff,5,892a100dc4fffff,892a100dcb7ffff,4.25,1,151.75546881266186,2.0234062508354915,0.10869565217391304,0.10121391229723646,3,0.8523599591029777,8.103551696889453e-06,1.5663404875918987,0.7093351853524814,0.9063306768355562,0.1695291010070896,False,0.648401542488215,0.8621003856220537
2,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,0,5.409034138218153,8.073185280922615,19.485,207887,892a100dc4bffff,6,892a100dc4fffff,892a100dcb7ffff,4.25,1,200.7643479917106,2.676857973222808,0.13043478260869565,0.07735022286390267,3,0.852363717909317,0.3503301042267029,1.5027473257452009,0.7217194870715533,1.0,0.2049128202044379,False,0.545285894395777,0.8363214735989442
2,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,0,5.409034138218153,8.073185280922615,19.485,244053,892a100d8d7ffff,0,892a100d89bffff,892a100ded3ffff,5.75,1,300.98306036956177,4.013107471594157,0.0,0.1571690554365053,2,1.0,0.0,1.3575060917471131,0.7207377211058965,0.999999802367207,0.20210777458827592,False,0.7348354117514848,0.8837088529378712
2,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,0,5.409034138218153,8.073185280922615,19.485,244053,892a100dc6fffff,1,892a100d89bffff,892a100ded3ffff,5.75,1,186.73908933609414,2.489854524481255,0.021739130434782608,0.12731335533177318,2,0.558636905100687,7.371332244727253e-06,1.6824773582300958,0.7162447171398205,0.9498312405380398,0.1892706203994872,False,0.636283114867003,0.8590707787167506
2,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,0,5.409034138218153,8.073185280922615,19.485,317626,892a100d8d7ffff,0,892a100d89bffff,892a100d147ffff,5.75,1,312.34158010083263,4.164554401344435,0.0,0.2984318901514104,2,1.0,0.0,1.3575060917471131,0.7207377211058965,0.999999802367207,0.20210777458827592,False,0.7348354117514848,0.8837088529378712
2,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,0,5.409034138218153,8.073185280922615,19.485,317626,892a100dc6fffff,1,892a100d89bffff,892a100d147ffff,5.75,1,184.0716297382957,2.4542883965106097,0.021739130434782608,0.2685761900466783,2,0.558636905100687,7.371332244727253e-06,1.6824773582300958,0.7162447171398205,0.9498312405380398,0.1892706203994872,False,0.636283114867003,0.8590707787167506
2,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,1,6.056952539550375,9.040227670970708,21.123333333333335,40049,892a100d8d7ffff,0,892a100d8d7ffff,892a100dd4fffff,3.25,1,160.80169747059153,2.1440226329412204,0.0,0.07370316660792685,3,0.522981601084304,0.0,1.5003632346042561,0.7207377211058965,0.999999802367207,0.20210777458827592,False,0.5845846983981033,0.8461461745995258
2,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,1,6.056952539550375,9.040227670970708,21.123333333333335,113791,892a100d557ffff,33,892a100d553ffff,892a100f223ffff,4.75,1,419.4123179328852,5.592164239105135,0.6470588235294118,0.06753299889872233,3,0.891287401476955,8.115950859632903e-06,1.3166990978631594,0.5745231579436538,1.0,0.12720902269615386,False,0.6645847722253864,0.8661461930563465
2,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,1,6.056952539550375,9.040227670970708,21.123333333333335,244094,892a100dc2bffff,5,892a100dc23ffff,892a100c3afffff,4.5,2,347.00075269342153,4.626676702578953,0.09803921568627451,0.09818201746618435,3,0.6805583547059488,0.32338025426444783,1.596619635297078,0.7015488174682207,0.9999989214114581,0.14728233562348758,False,0.51612081257229,0.8290302031430725
2,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,1,6.056952539550375,9.040227670970708,21.123333333333335,244094,892a100dc23ffff,6,892a100dc23ffff,892a100c3afffff,4.5,2,61.94422830026508,0.8259230440035344,0.11764705882352941,0.07137305430730667,3,0.9049065445782641,0.32335286230123156,1.4705717928765791,0.7084706568597003,0.9999998023541217,0.16705901959914382,False,0.5649283699407361,0.8412320924851839
2,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,1,6.056952539550375,9.040227670970708,21.123333333333335,317626,892a100d8d7ffff,0,892a100d89bffff,892a100d147ffff,5.75,1,312.34158010083263,4.164554401344435,0.0,0.5910475922590124,5,0.522981601084304,0.0,1.5003632346042561,0.7207377211058965,0.999999802367207,0.20210777458827592,False,0.5445846983981034,0.8361461745995258
2,green,primary,all_day,all,100,0.25,1,calibrated,full,True,0.5,1,6.056952539550375,9.040227670970708,21.123333333333335,317626,892a100dc6fffff,1,892a100d89bffff,892a100d147ffff,5.75,1,184.0716297382957,2.4542883965106097,0.0196078431372549,0.5762341833239748,5,0.5961776942639224,0.6496506483554308,1.6824773582300958,0.7162447171398205,0.9498312405380398,0.1892706203994872,False,0.3588982895926942,0.7897245723981735
