driver_id,seed,time_slice,hour_start,hour_end,route_idx,candidate_count,time_eligible_candidate_count,feasible_opportunity_count,observable_opportunity_count,nominal_route_value,observable_route_value,walk_route_value,route_distance_miles,observability_profile,observability_ablation,use_urban_context
0,42,all_day,,,0,79,79,49,38,28.13180682764363,22.83012599828749,23.99871273080342,9.877900257248314,calibrated,full,True
0,42,all_day,,,1,79,79,48,37,27.99979184013322,22.69811101077708,23.86669774329301,10.074937552039968,calibrated,full,True
0,43,all_day,,,0,79,79,49,38,28.13180682764363,22.83012599828749,23.99871273080342,9.877900257248314,calibrated,full,True
0,43,all_day,,,1,79,79,48,37,27.99979184013322,22.69811101077708,23.86669774329301,10.074937552039968,calibrated,full,True
0,44,all_day,,,0,79,79,49,38,28.13180682764363,22.83012599828749,23.99871273080342,9.877900257248314,calibrated,full,True
0,44,all_day,,,1,79,79,48,37,27.99979184013322,22.69811101077708,23.86669774329301,10.074937552039968,calibrated,full,True
0,45,all_day,,,0,79,79,49,38,28.13180682764363,22.83012599828749,23.99871273080342,9.877900257248314,calibrated,full,True
0,45,all_day,,,1,79,79,48,37,27.99979184013322,22.69811101077708,23.86669774329301,10.074937552039968,calibrated,full,True
0,46,all_day,,,0,79,79,49,38,28.13180682764363,22.83012599828749,23.99871273080342,9.877900257248314,calibrated,full,True
0,46,all_day,,,1,79,79,48,37,27.99979184013322,22.69811101077708,23.86669774329301,10.074937552039968,calibrated,full,True
1,42,all_day,,,0,3,3,5,3,13.459242298084927,9.64480366543103,11.031756477476844,14.613071196888168,calibrated,full,True
1,42,all_day,,,1,23,23,41,39,33.83667776852623,28.49252887773423,27.85988754511952,15.915406315632495,calibrated,full,True
1,43,all_day,,,0,3,3,5,3,13.459242298084927,9.64480366543103,11.031756477476844,14.613071196888168,calibrated,full,True
1,43,all_day,,,1,23,23,41,39,33.83667776852623,28.49252887773423,27.85988754511952,15.915406315632495,calibrated,full,True
1,44,all_day,,,0,3,3,5,3,13.459242298084927,9.64480366543103,11.031756477476844,14.613071196888168,calibrated,full,True
1,44,all_day,,,1,23,23,41,39,33.83667776852623,28.49252887773423,27.85988754511952,15.915406315632495,calibrated,full,True
1,45,all_day,,,0,3,3,5,3,13.459242298084927,9.64480366543103,11.031756477476844,14.613071196888168,calibrated,full,True
1,45,all_day,,,1,23,23,41,39,33.83667776852623,28.49252887773423,27.85988754511952,15.915406315632495,calibrated,full,True
1,46,all_day,,,0,3,3,5,3,13.459242298084927,9.64480366543103,11.031756477476844,14.613071196888168,calibrated,full,True
1,46,all_day,,,1,23,23,41,39,33.83667776852623,28.49252887773423,27.85988754511952,15.915406315632495,calibrated,full,True
2,42,all_day,,,0,22,22,38,37,34.134721065778514,28.89837874241372,27.999101344476507,13.604893931673855,calibrated,full,True
2,43,all_day,,,0,22,22,38,37,34.134721065778514,28.89837874241372,27.999101344476507,13.604893931673855,calibrated,full,True
2,44,all_day,,,0,22,22,38,37,34.134721065778514,28.89837874241372,27.999101344476507,13.604893931673855,calibrated,full,True
2,45,all_day,,,0,22,22,38,37,34.134721065778514,28.89837874241372,27.999101344476507,13.604893931673855,calibrated,full,True
2,46,all_day,,,0,22,22,38,37,34.134721065778514,28.89837874241372,27.999101344476507,13.604893931673855,calibrated,full,True
3,42,all_day,,,0,122,122,55,55,36.00041631973355,30.732228060986884,31.98521118916637,7.8351995227857385,calibrated,full,True
3,43,all_day,,,0,122,122,55,55,36.00041631973355,30.732228060986884,31.98521118916637,7.8351995227857385,calibrated,full,True
3,44,all_day,,,0,122,122,55,55,36.00041631973355,30.732228060986884,31.98521118916637,7.8351995227857385,calibrated,full,True
3,45,all_day,,,0,122,122,55,55,36.00041631973355,30.732228060986884,31.98521118916637,7.8351995227857385,calibrated,full,True
3,46,all_day,,,0,122,122,55,55,36.00041631973355,30.732228060986884,31.98521118916637,7.8351995227857385,calibrated,full,True
4,42,all_day,,,0,11,11,6,1,-0.495670274771026,-2.55574099818484,-1.1746640305721847,19.769657126523917,calibrated,full,True
4,42,all_day,,,1,32,32,14,9,15.010657785179015,10.76061115835959,10.42319693018901,20.50648091764326,calibrated,full,True
4,43,all_day,,,0,11,11,6,1,-0.495670274771026,-2.55574099818484,-1.1746640305721847,19.769657126523917,calibrated,full,True
4,43,all_day,,,1,32,32,14,9,15.010657785179015,10.76061115835959,10.42319693018901,20.50648091764326,calibrated,full,True
4,44,all_day,,,0,11,11,6,1,-0.495670274771026,-2.55574099818484,-1.1746640305721847,19.769657126523917,calibrated,full,True
4,44,all_day,,,1,32,32,14,9,15.010657785179015,10.76061115835959,10.42319693018901,20.50648091764326,calibrated,full,True
4,45,all_day,,,0,11,11,6,1,-0.495670274771026,-2.55574099818484,-1.1746640305721847,19.769657126523917,calibrated,full,True
