driver_id,seed,route_idx,candidate_count,time_eligible_candidate_count,feasible_opportunity_count,observable_opportunity_count,nominal_route_value,observable_route_value,walk_route_value,route_distance_miles,observability_ablation,use_urban_context
0,42,0,20,20,13,9,28.13180682764363,21.160076401030324,23.99871273080342,9.877900257248314,no_clutter,True
0,42,1,20,20,13,9,27.99979184013322,21.028061413519914,23.86669774329301,10.074937552039968,no_clutter,True
0,43,0,20,20,13,9,28.13180682764363,21.160076401030324,23.99871273080342,9.877900257248314,no_clutter,True
0,43,1,20,20,13,9,27.99979184013322,21.028061413519914,23.86669774329301,10.074937552039968,no_clutter,True
0,44,0,20,20,13,9,28.13180682764363,21.160076401030324,23.99871273080342,9.877900257248314,no_clutter,True
0,44,1,20,20,13,9,27.99979184013322,21.028061413519914,23.86669774329301,10.074937552039968,no_clutter,True
1,42,0,0,0,0,0,-9.790757701915073,-9.790757701915073,-9.790757701915073,14.613071196888168,no_clutter,True
1,42,1,5,5,10,10,24.33667776852623,20.25330659597296,18.838217613529878,15.915406315632495,no_clutter,True
1,43,0,0,0,0,0,-9.790757701915073,-9.790757701915073,-9.790757701915073,14.613071196888168,no_clutter,True
1,43,1,5,5,10,10,24.33667776852623,20.25330659597296,18.838217613529878,15.915406315632495,no_clutter,True
1,44,0,0,0,0,0,-9.790757701915073,-9.790757701915073,-9.790757701915073,14.613071196888168,no_clutter,True
1,44,1,5,5,10,10,24.33667776852623,20.25330659597296,18.838217613529878,15.915406315632495,no_clutter,True
2,42,0,9,9,15,15,28.134721065778514,23.330174357229552,21.72918775793171,13.604893931673855,no_clutter,True
2,43,0,9,9,15,15,28.134721065778514,23.330174357229552,21.72918775793171,13.604893931673855,no_clutter,True
2,44,0,9,9,15,15,28.134721065778514,23.330174357229552,21.72918775793171,13.604893931673855,no_clutter,True
3,42,0,28,28,9,7,28.000416319733553,23.457122337153713,23.981838767595335,7.8351995227857385,no_clutter,True
3,43,0,28,28,9,7,28.000416319733553,23.457122337153713,23.981838767595335,7.8351995227857385,no_clutter,True
3,44,0,28,28,9,7,28.000416319733553,23.457122337153713,23.981838767595335,7.8351995227857385,no_clutter,True
4,42,0,1,1,0,0,-13.245670274771026,-13.245670274771026,-13.245670274771026,19.769657126523917,no_clutter,True
4,42,1,10,10,0,0,-13.739342214820985,-13.739342214820985,-13.739342214820985,20.50648091764326,no_clutter,True
4,43,0,1,1,0,0,-13.245670274771026,-13.245670274771026,-13.245670274771026,19.769657126523917,no_clutter,True
4,43,1,10,10,0,0,-13.739342214820985,-13.739342214820985,-13.739342214820985,20.50648091764326,no_clutter,True
4,44,0,1,1,0,0,-13.245670274771026,-13.245670274771026,-13.245670274771026,19.769657126523917,no_clutter,True
4,44,1,10,10,0,0,-13.739342214820985,-13.739342214820985,-13.739342214820985,20.50648091764326,no_clutter,True
5,42,0,1,1,1,1,0.9201498751040784,-0.7821798347299413,-0.38617291162080036,14.671418096859583,no_clutter,True
5,42,1,6,6,11,7,26.45828476269775,21.593303205389375,21.306615799434965,15.36076901089888,no_clutter,True
5,43,0,1,1,1,1,0.9201498751040784,-0.7821798347299413,-0.38617291162080036,14.671418096859583,no_clutter,True
5,43,1,6,6,11,7,26.45828476269775,21.593303205389375,21.306615799434965,15.36076901089888,no_clutter,True
5,44,0,1,1,1,1,0.9201498751040784,-0.7821798347299413,-0.38617291162080036,14.671418096859583,no_clutter,True
5,44,1,6,6,11,7,26.45828476269775,21.593303205389375,21.306615799434965,15.36076901089888,no_clutter,True
6,42,0,5,5,0,0,-12.141590341382182,-12.141590341382182,-12.141590341382182,18.12177662892863,no_clutter,True
6,42,1,3,3,0,0,-13.231099084096588,-13.231099084096588,-13.231099084096588,19.747909080741174,no_clutter,True
6,43,0,5,5,0,0,-12.141590341382182,-12.141590341382182,-12.141590341382182,18.12177662892863,no_clutter,True
6,43,1,3,3,0,0,-13.231099084096588,-13.231099084096588,-13.231099084096588,19.747909080741174,no_clutter,True
6,44,0,5,5,0,0,-12.141590341382182,-12.141590341382182,-12.141590341382182,18.12177662892863,no_clutter,True
6,44,1,3,3,0,0,-13.231099084096588,-13.231099084096588,-13.231099084096588,19.747909080741174,no_clutter,True
