driver_id,seed,time_slice,hour_start,hour_end,route_idx,candidate_count,time_eligible_candidate_count,feasible_opportunity_count,observable_opportunity_count,nominal_route_value,observable_route_value,walk_route_value,route_distance_miles,observability_profile,observability_ablation,use_urban_context
0,42,all_day,,,0,20,20,13,5,28.13180682764363,19.45158921920569,23.99871273080342,9.877900257248314,calibrated,full,False
0,42,all_day,,,1,20,20,13,5,27.99979184013322,19.31957423169528,23.86669774329301,10.074937552039968,calibrated,full,False
0,43,all_day,,,0,20,20,13,5,28.13180682764363,19.45158921920569,23.99871273080342,9.877900257248314,calibrated,full,False
0,43,all_day,,,1,20,20,13,5,27.99979184013322,19.31957423169528,23.86669774329301,10.074937552039968,calibrated,full,False
0,44,all_day,,,0,20,20,13,5,28.13180682764363,19.45158921920569,23.99871273080342,9.877900257248314,calibrated,full,False
0,44,all_day,,,1,20,20,13,5,27.99979184013322,19.31957423169528,23.86669774329301,10.074937552039968,calibrated,full,False
1,42,all_day,,,0,0,0,0,0,-9.790757701915073,-9.790757701915073,-9.790757701915073,14.613071196888168,calibrated,full,False
1,42,all_day,,,1,5,5,10,8,24.33667776852623,17.675500621942795,18.838217613529878,15.915406315632495,calibrated,full,False
1,43,all_day,,,0,0,0,0,0,-9.790757701915073,-9.790757701915073,-9.790757701915073,14.613071196888168,calibrated,full,False
1,43,all_day,,,1,5,5,10,8,24.33667776852623,17.675500621942795,18.838217613529878,15.915406315632495,calibrated,full,False
1,44,all_day,,,0,0,0,0,0,-9.790757701915073,-9.790757701915073,-9.790757701915073,14.613071196888168,calibrated,full,False
1,44,all_day,,,1,5,5,10,8,24.33667776852623,17.675500621942795,18.838217613529878,15.915406315632495,calibrated,full,False
2,42,all_day,,,0,9,9,15,8,28.134721065778514,20.79763197371159,21.72918775793171,13.604893931673855,calibrated,full,False
2,43,all_day,,,0,9,9,15,8,28.134721065778514,20.79763197371159,21.72918775793171,13.604893931673855,calibrated,full,False
2,44,all_day,,,0,9,9,15,8,28.134721065778514,20.79763197371159,21.72918775793171,13.604893931673855,calibrated,full,False
3,42,all_day,,,0,28,28,9,4,28.000416319733553,21.26199276555908,23.981838767595335,7.8351995227857385,calibrated,full,False
3,43,all_day,,,0,28,28,9,4,28.000416319733553,21.26199276555908,23.981838767595335,7.8351995227857385,calibrated,full,False
3,44,all_day,,,0,28,28,9,4,28.000416319733553,21.26199276555908,23.981838767595335,7.8351995227857385,calibrated,full,False
4,42,all_day,,,0,1,1,0,0,-13.245670274771026,-13.245670274771026,-13.245670274771026,19.769657126523917,calibrated,full,False
4,42,all_day,,,1,10,10,0,0,-13.739342214820985,-13.739342214820985,-13.739342214820985,20.50648091764326,calibrated,full,False
4,43,all_day,,,0,1,1,0,0,-13.245670274771026,-13.245670274771026,-13.245670274771026,19.769657126523917,calibrated,full,False
4,43,all_day,,,1,10,10,0,0,-13.739342214820985,-13.739342214820985,-13.739342214820985,20.50648091764326,calibrated,full,False
4,44,all_day,,,0,1,1,0,0,-13.245670274771026,-13.245670274771026,-13.245670274771026,19.769657126523917,calibrated,full,False
4,44,all_day,,,1,10,10,0,0,-13.739342214820985,-13.739342214820985,-13.739342214820985,20.50648091764326,calibrated,full,False
5,42,all_day,,,0,1,1,1,0,0.9201498751040784,-1.3127390014476923,-0.38617291162080036,14.671418096859583,calibrated,full,False
5,42,all_day,,,1,6,6,11,5,26.45828476269775,19.207273242737962,21.306615799434965,15.36076901089888,calibrated,full,False
5,43,all_day,,,0,1,1,1,0,0.9201498751040784,-1.3127390014476923,-0.38617291162080036,14.671418096859583,calibrated,full,False
5,43,all_day,,,1,6,6,11,5,26.45828476269775,19.207273242737962,21.306615799434965,15.36076901089888,calibrated,full,False
5,44,all_day,,,0,1,1,1,0,0.9201498751040784,-1.3127390014476923,-0.38617291162080036,14.671418096859583,calibrated,full,False
